x,y
0.0,0.00000
1.0,2.00000
2.0,6.00000
3.0,12.00000
4.0,20.00000
5.0,30.00000
6.0,42.00000
7.0,56.00000
8.0,72.00000
9.0,90.00000
10.0,110.00000
11.0,132.00000
12.0,156.00000
13.0,182.00000
14.0,210.00000
15.0,240.00000
16.0,272.00000
17.0,306.00000
18.0,342.00000
19.0,380.00000
20.0,420.00000
21.0,462.00000
22.0,506.00000
23.0,552.00000
24.0,600.00000
25.0,650.00000
26.0,702.00000
27.0,756.00000
28.0,812.00000
29.0,870.00000
30.0,930.00000
31.0,992.00000
32.0,1056.00000
33.0,1122.00000
34.0,1190.00000
35.0,1260.00000
36.0,1332.00000
37.0,1406.00000
38.0,1482.00000
39.0,1560.00000
40.0,1640.00000
41.0,1722.00000
42.0,1806.00000
43.0,1892.00000
44.0,1980.00000
45.0,2070.00000
46.0,2162.00000
47.0,2256.00000
48.0,2352.00000
49.0,2450.00000
50.0,2550.00000
51.0,2652.00000
52.0,2756.00000
53.0,2862.00000
54.0,2970.00000
55.0,3080.00000
56.0,3192.00000
57.0,3306.00000
58.0,3422.00000
59.0,3540.00000
60.0,3660.00000
61.0,3782.00000
62.0,3906.00000
63.0,4032.00000
64.0,4160.00000
65.0,4290.00000
66.0,4422.00000
67.0,4556.00000
68.0,4692.00000
69.0,4830.00000
70.0,4970.00000
71.0,5112.00000
72.0,5256.00000
73.0,5402.00000
74.0,5550.00000
75.0,5700.00000
76.0,5852.00000
77.0,6006.00000
78.0,6162.00000
79.0,6320.00000
80.0,6480.00000
81.0,6642.00000
82.0,6806.00000
83.0,6972.00000
84.0,7140.00000
85.0,7310.00000
86.0,7482.00000
87.0,7656.00000
88.0,7832.00000
89.0,8010.00000
90.0,8190.00000
91.0,8372.00000
92.0,8556.00000
93.0,8742.00000
94.0,8930.00000
95.0,9120.00000
96.0,9312.00000
97.0,9506.00000
98.0,9702.00000
99.0,9900.00000
100.0,10100.00000
101.0,10302.00000
102.0,10506.00000
103.0,10712.00000
104.0,10920.00000
105.0,11130.00000
106.0,11342.00000
107.0,11556.00000
108.0,11772.00000
109.0,11990.00000
110.0,12210.00000
111.0,12432.00000
112.0,12656.00000
113.0,12882.00000
114.0,13110.00000
115.0,13340.00000
116.0,13572.00000
117.0,13806.00000
118.0,14042.00000
119.0,14280.00000
120.0,14520.00000
121.0,14762.00000
122.0,15006.00000
123.0,15252.00000
124.0,15500.00000
125.0,15750.00000
126.0,16002.00000
127.0,16256.00000
128.0,16512.00000
129.0,16770.00000
130.0,17030.00000
131.0,17292.00000
132.0,17556.00000
133.0,17822.00000
