x,y
0.0,-313553.75459
1.0,-283686.19256
2.0,-120097.92069
3.0,-826822.00548
4.0,-355695.32771
5.0,-986508.52079
6.0,755933.33346
7.0,-515673.43563
8.0,737470.58859
9.0,-923822.49034
10.0,-13873.72438
11.0,48037.85661
12.0,897373.11511
13.0,443880.27929
14.0,264895.00093
15.0,404811.94897
16.0,342094.83427
17.0,-276176.36540
18.0,-895798.47502
19.0,184969.39325
20.0,-295386.42625
21.0,731078.32611
22.0,-342178.87218
23.0,-849956.08787
24.0,718511.14249
25.0,-723066.41077
26.0,107987.02418
27.0,-23559.78348
28.0,-958224.23036
29.0,-22357.91185
30.0,-655543.19107
31.0,341965.71296
32.0,-761220.70255
33.0,598246.04432
34.0,-363255.61383
35.0,-200327.87240
36.0,-57537.72062
37.0,651273.12391
38.0,533466.24355
39.0,909770.26662
40.0,783214.26582
41.0,237667.34076
42.0,318451.78517
43.0,-850788.36790
44.0,-202110.85411
45.0,447399.16070
46.0,11472.45005
47.0,229855.86369
48.0,721848.36229
49.0,29776.59340
50.0,122146.66406
51.0,629973.76761
52.0,-181121.63475
53.0,498557.17697
54.0,148780.75943
55.0,-619838.40414
56.0,-281718.31093
57.0,-645460.36306
58.0,-840390.83959
59.0,443572.10062
60.0,-894606.03284
61.0,688390.77353
62.0,702100.37843
63.0,-608305.02370
64.0,51232.43705
65.0,69042.95541
66.0,756698.80174
67.0,-499252.60007
68.0,-731065.30350
69.0,328073.97772
70.0,-515425.55397
71.0,880064.75752
72.0,-350900.22330
73.0,618060.71167
74.0,114657.05831
75.0,-207292.49886
76.0,53095.65492
77.0,952974.73439
78.0,-526566.90272
79.0,-60169.02700
80.0,532852.43139
81.0,331267.55335
82.0,381688.28933
83.0,-845809.41383
84.0,897611.26891
85.0,497369.91467
86.0,425580.47992
87.0,-315515.22678
88.0,862554.33487
89.0,-585090.98492
90.0,455131.44727
91.0,51065.00330
92.0,-108807.68406
93.0,605024.45596
94.0,-428570.82028
95.0,-685129.06815
96.0,282840.98727
97.0,645742.77483
98.0,-665464.93878
99.0,525277.15142
100.0,58469.44962
101.0,-666552.32912
102.0,457293.99838
103.0,-901135.25676
104.0,762658.13490
105.0,-724937.40112
106.0,345948.08754
107.0,-70038.95436
108.0,-573644.65545
109.0,9638.31038
110.0,-493342.01143
111.0,145116.88749
112.0,-375423.98442
113.0,150618.27804
114.0,-942260.86601
115.0,587521.16241
116.0,-184861.18937
117.0,-504868.17865
118.0,370622.91350
119.0,353677.79042
120.0,-41009.13066
121.0,-435757.04241
122.0,-791743.63784
123.0,1003501.60033
124.0,-200377.64303
125.0,-381838.42259
126.0,637856.81201
127.0,426314.47345
128.0,118527.00085
129.0,-166998.58331
130.0,-534359.08268
131.0,769053.82522
132.0,-214383.48967
133.0,30747.03154
134.0,-25648.73122
135.0,319332.24057
136.0,487951.43633
137.0,-878328.71899
138.0,340105.90746
139.0,-215184.63498
140.0,-352897.05065
141.0,-751478.96881
142.0,-736699.57009
143.0,-978286.14556
144.0,224913.70114
145.0,-485630.45283
146.0,-931006.02589
147.0,939012.48322
148.0,-130620.91094
149.0,-868891.06840
150.0,815415.06370
151.0,-958611.43619
152.0,-833176.80702
153.0,843137.43073
154.0,794925.46199
155.0,-127401.20603
156.0,-356503.36122
157.0,560871.91190
158.0,219983.27488
159.0,-517556.61904
160.0,599177.19863
161.0,281295.36525
162.0,857350.18537
163.0,-35757.64422
164.0,-142693.33634
165.0,577827.14461
166.0,906990.85918
167.0,96089.40338
168.0,-919348.99938
169.0,209381.29802
170.0,-482185.36584
171.0,-832025.70518
172.0,-571576.52087
173.0,-271442.79185
174.0,990614.08359
175.0,-811804.49585
176.0,20263.76284
177.0,-638515.66640
178.0,939257.69226
179.0,-163689.35465
180.0,-75580.04667
181.0,886921.16950
182.0,464396.40405
183.0,766201.78264
184.0,201931.53706
185.0,759786.49838
186.0,739647.53065
187.0,-838339.43737
188.0,-84432.93162
189.0,-695620.10935
190.0,-681577.03603
191.0,808225.47257
192.0,951721.00478
193.0,445124.87066
194.0,940270.97456
195.0,368833.14703
196.0,1005429.40641
197.0,147748.41792
198.0,-351195.92781
199.0,1037171.83330
200.0,143115.46038
201.0,-488613.13524
202.0,-371010.36860
203.0,-708544.63568
204.0,-15369.82875
205.0,282187.18829
