x,y
0.0,-514561.99345
1.0,-307790.69930
2.0,-360857.98619
3.0,-135226.40374
4.0,-275195.59978
5.0,-185982.09293
6.0,-324067.11724
7.0,-78800.50956
8.0,-147717.09199
9.0,127583.91655
10.0,112639.76762
11.0,239308.94503
12.0,51164.44929
13.0,58501.22893
14.0,21149.63724
15.0,70001.54884
16.0,150768.46536
17.0,173573.91245
18.0,60803.20311
19.0,-19810.49740
20.0,-70571.05662
21.0,-202900.02433
22.0,-132139.76628
23.0,-149566.83120
24.0,-219069.49792
25.0,-158963.00103
26.0,-178333.13060
27.0,-314408.35270
28.0,-126899.41636
29.0,-171816.00081
30.0,-200381.37438
31.0,-233579.39577
32.0,-68932.14424
33.0,-149176.21623
34.0,133773.39929
35.0,198037.84291
36.0,273079.88092
37.0,199847.40368
38.0,202671.32519
39.0,85005.23304
40.0,178726.31057
41.0,254461.03532
42.0,275121.94931
43.0,399103.48845
44.0,283866.77206
45.0,140153.41032
46.0,168422.03157
47.0,104704.79265
48.0,73516.08197
49.0,242680.17159
50.0,191670.40953
51.0,67975.95201
52.0,83392.21093
53.0,-91600.34057
54.0,-84450.32498
55.0,-100026.67125
56.0,-77214.26962
57.0,-33627.40333
58.0,-56852.69457
59.0,-229981.46258
60.0,-104137.42964
61.0,-124783.38969
62.0,-147907.77909
63.0,-25427.73292
64.0,25465.00273
65.0,-72215.81456
66.0,36485.67984
67.0,58151.72034
68.0,72929.02401
69.0,39311.30409
70.0,97808.76366
71.0,-43334.99753
72.0,99389.09381
73.0,-238.42995
74.0,117191.56304
75.0,169864.36412
76.0,228494.85948
77.0,88669.30471
78.0,187132.54937
79.0,168447.81752
80.0,147416.95732
81.0,230862.74300
82.0,188959.58123
83.0,302667.31159
84.0,122472.83510
85.0,214027.01795
86.0,173027.21862
87.0,203129.26555
88.0,107655.92604
89.0,294144.31738
90.0,31848.04045
91.0,50801.79211
92.0,88805.29034
93.0,-17572.89486
94.0,52058.91441
95.0,142070.78266
96.0,-66894.60053
97.0,-62561.87977
98.0,-10673.86568
99.0,-113984.70681
100.0,-96940.59471
101.0,78669.29873
102.0,-69003.32818
103.0,-55099.14570
104.0,-153968.15995
105.0,-107070.52263
106.0,-205494.32771
107.0,-134782.78905
108.0,-115089.79097
109.0,-177530.64848
110.0,-144746.31355
111.0,-154584.58227
112.0,-187612.12170
113.0,-196150.16115
114.0,5869.99784
115.0,-152172.94911
116.0,-69176.21703
117.0,-130861.57063
118.0,-80518.12137
119.0,-113923.20117
120.0,-18412.26472
121.0,26096.09141
122.0,122812.31724
123.0,5627.31137
124.0,72253.08603
125.0,1595.47667
126.0,-19367.75120
127.0,23923.83793
128.0,136951.65213
129.0,62589.17739
130.0,151296.21569
131.0,107933.91079
132.0,54659.08918
133.0,21525.18046
134.0,-6206.40685
135.0,-59294.35076
136.0,-97868.25895
137.0,-111815.58295
138.0,-310049.31119
139.0,-235103.58998
140.0,-267330.52058
141.0,-352506.15541
142.0,-308877.99059
143.0,-209948.55224
144.0,-451168.23449
145.0,-277053.84923
146.0,-293087.73048
147.0,-488259.36521
148.0,-223312.32571
149.0,27835.85079
150.0,-175826.25314
151.0,14489.10601
152.0,151133.43688
153.0,-88400.90773
154.0,-122273.28167
155.0,116766.21184
156.0,86264.45751
157.0,176123.09235
158.0,289953.87234
159.0,265124.78502
160.0,131741.57152
161.0,266968.96138
162.0,254622.75582
163.0,195911.44765
164.0,205544.81918
165.0,137029.89641
166.0,-39006.76543
167.0,-43203.80847
168.0,-54539.26591
169.0,-64775.12287
170.0,-62529.57244
171.0,-83301.87668
172.0,-263897.44767
173.0,-209593.99168
174.0,-260233.71475
175.0,-108487.99128
176.0,-54784.16361
177.0,140735.99024
178.0,116736.48472
179.0,274368.62230
180.0,242474.93298
181.0,301370.01402
182.0,257762.17054
183.0,282989.90616
184.0,175929.15056
185.0,68354.88629
186.0,158749.33498
187.0,323028.01531
188.0,245710.21140
189.0,324235.84836
190.0,339521.70203
191.0,215105.74197
192.0,141566.27748
193.0,240940.24185
194.0,303586.10795
195.0,444603.44767
196.0,400240.21182
197.0,368084.72655
198.0,251952.59707
199.0,67066.35102
200.0,90663.60969
201.0,49931.26770
202.0,-154105.72665
203.0,-161566.50206
204.0,-150609.29715
205.0,-368204.82049
206.0,-340764.40245
207.0,-261881.48884
208.0,-334350.34323
209.0,-403213.64413
210.0,-231039.70927
211.0,-285700.17660
212.0,-345158.11946
213.0,-283656.50248
214.0,-296366.18185
215.0,-395393.52458
216.0,-338727.14697
217.0,-296901.48769
218.0,-297662.13696
219.0,-228286.25360
220.0,-304648.40072
221.0,-277812.74309
222.0,-267481.99817
223.0,-357809.30794
224.0,-262551.66544
225.0,-152799.94243
226.0,-226651.72131
227.0,-151729.76596
228.0,-69946.17903
229.0,-260455.67334
230.0,-308079.93072
231.0,-153959.84615
232.0,-168163.84937
233.0,-114930.91822
234.0,22765.29540
235.0,-80118.26242
236.0,-178355.31191
237.0,39379.85971
238.0,106927.47315
239.0,-18189.14443
240.0,117463.35476
241.0,113350.13643
242.0,-45002.91982
