x,y
0.0,-16192.22727
1.0,-17886.11690
2.0,-18968.65770
3.0,-16423.61663
4.0,-15678.89128
5.0,-17183.74500
6.0,-15139.99989
7.0,-16784.91994
8.0,-16671.47897
9.0,-17356.69096
10.0,-15979.91292
11.0,-16966.96078
12.0,-19677.68565
13.0,-20252.64947
14.0,-20580.03701
15.0,-19995.08208
16.0,-18786.21428
17.0,-17108.57113
18.0,-15784.97269
19.0,-14667.87591
20.0,-13221.23618
21.0,-13601.44815
22.0,-14432.47897
23.0,-15088.20408
24.0,-13768.85099
25.0,-14621.27335
26.0,-12670.72482
27.0,-12018.92111
28.0,-11866.76167
29.0,-9729.62490
30.0,-8538.26269
31.0,-8698.24813
32.0,-9503.89917
33.0,-8896.19497
34.0,-10603.43121
35.0,-8060.09767
36.0,-8310.68661
37.0,-7831.62606
38.0,-6864.64136
39.0,-7990.52116
40.0,-9442.59871
41.0,-9004.53782
42.0,-9042.45041
43.0,-9323.36527
44.0,-9255.60919
45.0,-10277.94654
46.0,-10161.10886
47.0,-11030.60282
48.0,-10444.48244
49.0,-9256.59229
50.0,-11536.44143
51.0,-9396.16014
52.0,-8548.91709
53.0,-9806.28212
54.0,-8875.46793
55.0,-6982.01553
56.0,-7146.99109
57.0,-6351.43140
58.0,-5611.77701
59.0,-6263.31522
60.0,-6297.54567
61.0,-5641.21662
62.0,-5006.82852
63.0,-4755.24898
64.0,-5366.23033
65.0,-4833.07296
66.0,-6550.22051
67.0,-7540.54869
68.0,-6922.38552
69.0,-7749.23008
70.0,-6361.21726
71.0,-3839.38741
72.0,-2018.19074
73.0,-2305.76774
74.0,-2122.79991
75.0,-756.02724
76.0,-1507.05008
77.0,-510.87786
78.0,-950.34157
79.0,-1797.67740
80.0,-1299.40965
81.0,282.36416
82.0,-526.69344
83.0,-378.20764
84.0,-258.88692
85.0,-2308.77095
86.0,-1515.15568
87.0,-886.55113
88.0,3.71941
89.0,766.88647
90.0,1308.50351
91.0,-16.81853
92.0,-123.71695
93.0,1194.41559
94.0,2584.13203
95.0,3075.66758
96.0,3414.12423
97.0,4075.22084
98.0,3004.84377
99.0,3611.02220
100.0,5510.07260
101.0,3645.61197
102.0,4834.00935
103.0,5465.54630
104.0,5589.50167
105.0,6043.12213
106.0,7641.67600
107.0,8230.80310
108.0,7549.32820
109.0,10239.94697
110.0,9420.81706
111.0,11518.06428
112.0,12605.28349
113.0,13520.70363
114.0,14314.12345
115.0,14357.97716
116.0,16907.07532
117.0,17389.51806
118.0,16502.36308
119.0,17178.12182
120.0,15226.37286
121.0,15549.26390
122.0,16375.64576
123.0,17723.93431
