x,y
0.0,-76225.53998
1.0,72281.10420
2.0,58027.25554
3.0,-75123.71576
4.0,-72833.88415
5.0,-22423.09633
6.0,-83459.59495
7.0,21002.35519
8.0,-31080.65097
9.0,-15777.17649
10.0,-88801.64671
11.0,-79177.75864
12.0,47711.85351
13.0,19972.16760
14.0,76468.23657
15.0,23751.83410
16.0,20035.98019
17.0,8555.40506
18.0,-82233.26949
19.0,-51653.30290
20.0,-89888.14571
21.0,-74363.83193
22.0,-28331.52218
23.0,25373.59191
24.0,-16899.77031
25.0,48604.39503
26.0,-57838.45702
27.0,-44013.06037
28.0,22783.34476
29.0,-86505.99941
30.0,-76253.14493
31.0,-90667.39316
32.0,83202.21980
33.0,-34054.74268
34.0,53624.19774
35.0,-64340.58910
36.0,68309.32858
37.0,73014.78891
38.0,-77097.58857
39.0,-20973.55223
40.0,34515.70878
41.0,-51230.92926
42.0,20716.89545
43.0,-12047.77861
44.0,-91917.96639
45.0,-61020.05249
46.0,-14667.21608
47.0,42859.29647
48.0,-37376.60198
49.0,-91126.33941
50.0,92757.45554
51.0,45926.04533
52.0,-88432.08715
53.0,-17232.45215
54.0,26081.38402
55.0,-48035.05825
56.0,36229.48250
57.0,-4438.49247
58.0,-62288.34985
59.0,-41795.51190
60.0,-7774.47880
61.0,-66565.94430
62.0,-58142.29062
63.0,-83640.09189
64.0,15290.61684
65.0,-35274.36901
66.0,56074.33883
67.0,82135.30171
68.0,-17892.55206
69.0,91874.67145
70.0,48362.06298
71.0,-24691.97242
72.0,-27403.35777
73.0,-8595.29790
74.0,40270.56292
75.0,-12196.36315
76.0,27177.56312
77.0,51343.55703
78.0,66645.92062
79.0,47677.69916
80.0,95832.20631
81.0,-35911.33160
82.0,99107.97960
83.0,-76321.41339
84.0,-64625.09797
85.0,87615.13230
86.0,103039.17095
87.0,38073.04193
88.0,-72849.35026
89.0,-50943.90696
90.0,-83188.23980
91.0,-55325.69558
92.0,59455.32821
93.0,-67932.20559
94.0,-82824.48180
95.0,-75479.74384
96.0,47291.30768
97.0,-36975.51069
98.0,-33826.70444
99.0,53406.90497
100.0,-53357.71098
101.0,90971.17896
102.0,22647.27609
103.0,3490.38805
104.0,61271.53905
105.0,42394.91431
106.0,45343.88798
107.0,-44571.60060
108.0,37117.93652
109.0,-75741.63422
110.0,14820.81190
111.0,-81960.20690
112.0,-7315.29526
113.0,47372.00573
114.0,57804.74156
115.0,79218.98833
116.0,-56614.21367
117.0,-52935.87435
118.0,-29656.13226
119.0,-55150.50180
120.0,43635.37028
121.0,89240.80448
122.0,105044.44958
123.0,-38281.16268
124.0,92536.23632
125.0,67310.57052
126.0,12876.03729
127.0,65944.75893
128.0,-72657.06811
129.0,-80918.46019
130.0,11475.28336
131.0,-49819.30153
132.0,-36553.84199
133.0,-77378.59350
134.0,-10426.35560
135.0,876.02560
136.0,30444.97575
137.0,66203.65545
138.0,51119.45004
139.0,21124.56100
140.0,943.81854
141.0,-70153.95063
142.0,52860.25273
143.0,25142.61588
144.0,112031.58863
145.0,-35419.67357
146.0,95596.66380
147.0,-32824.37256
148.0,-61029.60483
149.0,110474.85085
150.0,-7985.91592
151.0,50640.28242
152.0,96441.88064
153.0,-44435.28001
154.0,52944.23534
155.0,52566.80565
156.0,114769.30299
157.0,5226.70306
158.0,9103.55517
159.0,93913.95678
160.0,-33146.05728
161.0,105169.22458
162.0,116800.88845
163.0,88087.02373
164.0,6134.62602
165.0,41090.23500
166.0,83802.24487
167.0,107996.95197
168.0,16699.54571
169.0,24188.95276
170.0,-4514.35285
171.0,126256.60139
172.0,73749.85909
173.0,-35900.11507
174.0,121614.47926
175.0,3617.80211
176.0,-34065.23342
177.0,129450.69578
178.0,-59497.03213
179.0,27510.89085
180.0,40648.25211
181.0,1128.07590
182.0,130042.82707
183.0,-64443.96505
184.0,99197.82616
185.0,34468.63694
186.0,44005.37237
187.0,-1826.47343
188.0,-9174.02550
189.0,63974.77673
190.0,117228.70940
191.0,-20071.83845
192.0,32885.41171
193.0,7788.04804
194.0,124744.90616
195.0,51000.40320
196.0,119039.36613
197.0,-40964.34947
198.0,57597.46245
199.0,-21814.96874
200.0,-31821.33075
201.0,87298.22052
202.0,-27955.44238
203.0,-10924.25381
204.0,13817.50298
205.0,15830.08626
206.0,119038.98399
207.0,-26398.10252
208.0,137050.16996
209.0,88795.89019
210.0,-32679.03001
211.0,-36158.49666
212.0,5721.38402
213.0,-2329.68297
214.0,-3844.69310
215.0,116042.40048
216.0,-1716.90933
217.0,-2919.58860
218.0,-47310.31295
219.0,108041.23250
220.0,-37119.09051
221.0,7752.94602
222.0,44106.30364
223.0,-39222.25435
224.0,-9466.16296
225.0,77861.88749
226.0,66184.15023
227.0,-5640.17167
228.0,-34159.03849
229.0,-46045.96554
230.0,-42415.19943
231.0,137142.26396
232.0,99469.38648
233.0,98763.56259
234.0,113119.70411
235.0,120540.29466
236.0,143747.81532
237.0,-14390.90808
238.0,-10547.66833
239.0,12806.68251
240.0,146010.57196
241.0,97699.71272
242.0,93133.91902
243.0,71758.81459
244.0,3907.12804
245.0,-34440.83641
246.0,153566.76413
247.0,29450.32592
248.0,152712.59127
249.0,-13089.75830
250.0,152434.37300
251.0,61039.35305
252.0,36744.77039
253.0,90744.26993
254.0,106333.10449
255.0,35613.46469
256.0,-4686.03552
257.0,130933.29853
258.0,80785.23902
259.0,-1510.90393
260.0,28201.71113
261.0,24625.49911
262.0,51508.67752
263.0,-7488.89239
264.0,-3514.80441
265.0,86797.10550
266.0,122763.89585
267.0,90135.91543
268.0,161594.27481
269.0,154716.90778
270.0,62793.95213
271.0,78589.47028
272.0,168808.38965
273.0,144712.30024
274.0,122818.78460
275.0,17149.13753
276.0,40970.95413
277.0,38508.57381
278.0,68740.26193
279.0,68606.36792
280.0,64019.10064
281.0,157545.99445
282.0,73659.79943
283.0,-3775.13373
284.0,17997.05739
285.0,151062.01763
286.0,-5494.32500
287.0,113016.76901
288.0,35541.59126
289.0,-2641.16400
290.0,-12487.54897
291.0,71917.11341
292.0,54398.44535
293.0,97559.19134
294.0,4990.25927
295.0,93444.80403
296.0,171348.84722
297.0,27286.29063
298.0,59767.03293
299.0,41695.95788
300.0,1995.60059
301.0,104086.38469
302.0,43881.98451
303.0,180023.42864
304.0,4178.51053
305.0,27045.44932
306.0,144554.08757
307.0,64514.04574
308.0,32359.25856
309.0,49934.21001
310.0,113144.51782
311.0,66383.01314
312.0,156136.05807
313.0,60348.51945
314.0,11777.35006
315.0,53662.58802
316.0,198118.91032
317.0,154694.96589
318.0,187478.17601
319.0,8070.11283
320.0,124716.38855
321.0,22504.35792
322.0,105135.50360
323.0,4698.19954
324.0,157955.34806
325.0,83438.59988
326.0,108285.26634
327.0,40177.67165
328.0,67275.16935
329.0,56489.20286
330.0,170663.92323
331.0,59221.77915
332.0,147308.55606
333.0,83248.56256
334.0,51671.06560
335.0,199967.88241
336.0,90981.09302
337.0,75767.91600
338.0,175327.70157
339.0,155290.69248
340.0,126832.20293
341.0,214398.72402
342.0,215011.70044
343.0,30268.99324
344.0,205280.37845
345.0,82146.95932
346.0,185197.20914
347.0,165245.48002
348.0,90625.92616
349.0,189452.73006
350.0,216620.17126
351.0,89427.27920
352.0,143904.70681
353.0,216940.35093
354.0,122737.38015
355.0,71732.40978
356.0,166276.74686
357.0,183566.88126
358.0,153041.77229
359.0,43595.42833
360.0,113453.86913
